RecordDate,Symbol,Series,Prev_Close,Day_Open,Day_High,Day_Low,Day_Last,Day_Close,VWAP,Volume,Turnover,Trades,Deliverable_Volume,Percent_Deliverable,Industry
2021-02-02,TATASTEEL,EQ,636.1,643,648,624.1,642.5,641.65,638.27,18048957,1152014026885000,203280,2613414,0.1448,METALS
2021-02-02,NTPC,EQ,92,92.9,95.35,92.9,94.7,94.15,94.35,29279584,276266262765000,73537,11276700,0.3851,POWER
2021-02-02,TITAN,EQ,1501.55,1515,1536,1482,1488,1485.45,1504.37,1974202,296993020100000,65640,609974,0.309,CONSUMER GOODS
2021-02-02,KOTAKBANK,EQ,1801.5,1830,1879.1,1800.05,1865,1861.3,1852.5,5871337,1087662893880000,201319,3235423,0.5511,FINANCIAL SERVICES
2021-02-02,ITC,EQ,215.95,220,223.5,217,218.45,218.2,219.76,48457781,1064903622635000,246486,18023213,0.3719,CONSUMER GOODS
2021-02-02,LT,EQ,1448.85,1474,1593,1474,1523.05,1520.2,1533.27,14349665,2200186362175000,411313,3804965,0.2652,CONSTRUCTION
2021-02-02,M&M,EQ,795.15,810,837.4,802.6,820,816.85,821.75,5334431,438356594120000,109265,1486275,0.2786,AUTOMOBILE
2021-02-02,RELIANCE,EQ,1895.3,1914.25,1940,1854.95,1936,1925.8,1889.81,19138414,3616805285090000,561567,7369471,0.3851,OIL & GAS
2021-02-02,TATAMOTORS,EQ,279.6,293.6,328.85,290.4,326.95,322,308.75,251965965,7779481872464998,1201928,30359979,0.1205,AUTOMOBILE
2021-02-02,SHREECEM,EQ,24543.6,24543.6,26650,24200.55,26333.5,26432.55,25942.6,188876,489993362185000.06,48663,55154,0.292,CEMENT & CEMENT PRODUCTS
2021-02-02,ONGC,EQ,90.85,92.5,93.95,91.2,93.3,92.85,92.53,22141489,204866915800000,99290,6315272,0.2852,OIL & GAS
2021-02-02,TCS,EQ,3139.35,3174,3224,3150,3195,3203.45,3197.36,2881837,921428242810000,114024,1461083,0.507,IT
2021-02-02,POWERGRID,EQ,188.9,191,195.65,189.2,194.6,194.2,193.68,6077028,117701551395000,48541,2086641,0.34340000000000004,POWER
2021-02-02,ULTRACEMCO,EQ,5744.15,5785,6199,5785,6145.05,6123.55,6071.48,2251712,1367122139960000,167974,613905,0.2726,CEMENT & CEMENT PRODUCTS
2021-02-02,JSWSTEEL,EQ,380.85,384.65,391.7,376.7,389,389,384.76,7450391,286663415210000,62118,1398475,0.1877,METALS
2021-02-02,IOC,EQ,95.8,97.55,99.2,96.75,99.1,98.8,98.45,38641408,380414872165000,102193,10448290,0.2704,OIL & GAS
2021-02-02,NESTLEIND,EQ,17087.7,17150.05,17350,17054.5,17185,17190.3,17213.21,130298,224284663990000,22001,75065,0.5761000000000001,CONSUMER GOODS
2021-02-02,MARUTI,EQ,7399.8,7534.9,7769.75,7490.15,7661,7654.7,7651.32,1700845,1301370195610000,128518,450748,0.265,AUTOMOBILE
2021-02-03,NESTLEIND,EQ,17190.3,17200.05,17289,17051,17121,17166.4,17176.91,112325,192939679435000,20785,54510,0.4853,CONSUMER GOODS
2021-02-03,MARUTI,EQ,7654.7,7680,7716.45,7475.85,7585,7589.2,7579.5,1491567,1130533585530000,123946,350427,0.2349,AUTOMOBILE
2021-02-03,IOC,EQ,98.8,100.6,102.4,99.9,102,101.85,100.89,58158800,586758547140000,140432,20194937,0.3472,OIL & GAS
2021-02-03,ONGC,EQ,92.85,94.6,95.3,93,93.55,93.35,93.69,25912911,242767868430000.03,93356,7064855,0.2726,OIL & GAS
